"TITLE","DOI","PUBDATE","ENTREZUID","ABSTRACT"
"Spatiotemporal characteristics and the epidemiology of tuberculosis in China from 2004 to 2017 by the nationwide surveillance system.","10.1186/s12889-020-09331-y","2020 Aug 26","32843011","China has always been one of the countries with the most serious Tuberculosis epidemic in the world. Our study was to observe the Spatial-temporal characteristics and the epidemiology of Tuberculosis in China from 2004 to 2017 with Joinpoint regression analysis, Seasonal Autoregressive integrated moving average (SARIMA) model, geographic cluster, and multivariate time series model.The data of TB from January 2004 to December 2017 were obtained from the notifiable infectious disease reporting system supplied by the Chinese Center for Disease Control and Prevention. The incidence trend of TB was observed by the Joinpoint regression analysis. The Seasonal autoregressive integrated moving average (SARIMA) model was used to predict the monthly incidence. Geographic clusters was employed to analyze the spatial autocorrelation. The relative importance component of TB was detected by the multivariate time series model.We included 13,991,850 TB cases from January 2004 to December 2017, with a yearly average morbidity of 999,417 cases. The final selected model was the 0 Joinpoint model (P = 0.0001) with an annual average percent change (AAPC) of - 3.3 (95% CI: - 4.3 to - 2.2, P < 0.001). A seasonality was observed across the 14 years, and the seasonal peaks were in January and March every year. The best SARIMA model was (0, 1, 1) X (0, 1, 1)12 which can be written as (1-B) (1-B12) Xt = (1-0.42349B) (1-0.43338B12) εt, with a minimum AIC (880.5) and SBC (886.4). The predicted value and the original incidence data of 2017 were well matched. The MSE, RMSE, MAE, and MAPE of the modelling performance were 201.76, 14.2, 8.4 and 0.06, respectively. The provinces with a high incidence were located in the northwest (Xinjiang, Tibet) and south (Guangxi, Guizhou, Hainan) of China. The hotspot of TB transmission was mainly located at southern region of China from 2004 to 2008, including Hainan, Guangxi, Guizhou, and Chongqing, which disappeared in the later years. The autoregressive component had a leading role in the incidence of TB which accounted for 81.5-84.5% of the patients on average. The endemic component was about twice as large in the western provinces as the average while the spatial-temporal component was less important there. Most of the high incidences (> 70 cases per 100,000) were influenced by the autoregressive component for the past 14 years.In a word, China still has a high TB incidence. However, the incidence rate of TB was significantly decreasing from 2004 to 2017 in China. Seasonal peaks were in January and March every year. Obvious geographical clusters were observed in Tibet and Xinjiang Province. The relative importance component of TB driving transmission was distinguished from the multivariate time series model. For every provinces over the past 14 years, the autoregressive component played a leading role in the incidence of TB which need us to enhance the early protective implementation."
"Estimating Disability-Adjusted Life Years due to Tuberculosis in Korea through to the Year 2040.","10.3390/ijerph17165960","2020 Aug 17","32824613","Despite efforts to reduce its incidence, tuberculosis continues to burden the rapidly aging Korean society. This study aimed to investigate the current trend of tuberculosis burden in Korea and its projections to 2040. We used National Health Insurance claims data to calculate the disability-adjusted life years due to tuberculosis in Korea. Disability-adjusted life years were measured by summing the years of life lost and the years lived with disability using an incidence-based approach. We modeled the incidence rates using a time-series model for the projection of disability-adjusted life years accrued from 2020 to 2040. The total disability-adjusted life years due to tuberculosis were 69, 64, 59, and 49 disability-adjusted life years/100,000 population in 2014, 2015, 2016, and 2017, respectively. In both sexes, disability-adjusted life years were the highest in those aged ≥80 years. Projected disability-adjusted life years showed a descending trend from 38 disability-adjusted life years/100,000 in 2020, to 14 disability-adjusted life years/100,000 in 2040. Conversely, the projected disability-adjusted life years increased among females aged ≥80 years. Although the tuberculosis burden in Korea is decreasing, a high burden remains among the elderly. Therefore, interventions targeting those vulnerable are required."
"Statistical methods for predicting tuberculosis incidence based on data from Guangxi, China.","10.1186/s12879-020-05033-3","2020 Apr 22","32321419","Tuberculosis (TB) remains a serious public health problem with substantial financial burden in China. The incidence of TB in Guangxi province is much higher than that in the national level, however, there is no predictive study of TB in recent years in Guangxi, therefore, it is urgent to construct a model to predict the incidence of TB, which could provide help for the prevention and control of TB.Box-Jenkins model methods have been successfully applied to predict the incidence of infectious disease. In this study, based on the analysis of TB incidence in Guangxi from January 2012 to June 2019, we constructed TB prediction model by Box-Jenkins methods, and used root mean square error (RMSE), mean absolute error (MAE) and mean absolute percentage error (MAPE) to test the performance and prediction accuracy of model.From January 2012 to June 2019, a total of 587,344 cases of TB were reported and 879 cases died in Guangxi. Based on TB incidence from January 2012 to December 2018, the SARIMA((2),0,(2))(0,1,0)12 model was established, the AIC and SC of this model were 2.87 and 2.98, the fitting accuracy indexes, such as RMSE, MAE and MAPE were 0.98, 0.77 and 5.8 respectively; the prediction accuracy indexes, such as RMSE, MAE and MAPE were 0.62, 0.45 and 3.77, respectively. Based on the SARIMA((2),0,(2))(0,1,0)12 model, we predicted the TB incidence in Guangxi from July 2019 to December 2020.This study filled the gap in the prediction of TB incidence in Guangxi in recent years. The established SARIMA((2),0,(2))(0,1,0)12 model has high prediction accuracy and good prediction performance. The results suggested the change trend of TB incidence predicted by SARIMA((2),0,(2))(0,1,0)12 model from July 2019 to December 2020 was similar to that in the previous two years, and TB incidence will experience slight decrease, the predicted results can provide scientific reference for the prevention and control of TB in Guangxi, China."
"COVID-19 and tuberculosis: A mathematical model based forecasting in Delhi, India.","10.1016/j.ijtb.2020.05.006","2020 Apr","32553309","There is emerging evidence that patients with Latent Tuberculosis Infection(LTBI) and Tuberculosis(TB) disease have an increased risk of the SARS-CoV-2 infection and predisposition towards developing severe COVID-19 pneumonia. In this study we attempted to estimate the number of TB patients infected with SARS-CoV-2 and have severe disease during the COVID-19 epidemic in Delhi, India.Susceptible-Exposed-Infectious-Recovered (SEIR) model was used to estimate the number of COVID-19 cases in Delhi. Assuming the prevalence of TB in Delhi to be 0.55%, 53% of SARS-CoV2 infected TB cases to present with severe disease we estimated the number of SARS-CoV2 infected TB cases and the number of severe patients. The modelling used estimated R0 for two scenarios, without any intervention and with public health interventions.We observed that the peak of SARS-CoV-2-TB co-infected patients would occur on the 94th day in absence of public health interventions and on 138th day in presence of interventions. There could be 20,880 SARS-CoV-2 infected TB cases on peak day of epidemic when interventions are implemented and 27,968 cases in the absence of intervention. Among them, there could be 14,823 patients with severe disease when no interventions are implemented and 11,066 patients with severe disease in the presence of intervention.The importance of primary prevention measures needs to be emphasized especially in TB patients. The TB treatment centres and hospitals needs to be prepared for early diagnosis and management of severe COVID-19 in TB patients.Copyright © 2020 Tuberculosis Association of India. Published by Elsevier B.V. All rights reserved."
"Individualized Dosing With High Inter-Occasion Variability Is Correctly Handled With Model-Informed Precision Dosing-Using Rifampicin as an Example.","10.3389/fphar.2020.00794","2020","32536870","Rifampicin exhibits complexities in its pharmacokinetics (PK), including high inter-occasion variability (IOV), which is challenging for dose individualization. Model-informed precision dosing (MIPD) can be used to optimize individual doses. In this simulation-based study we investigated the magnitude of IOV in rifampicin PK on an exposure level, the impact of not acknowledging IOV when performing MIPD, and the number of sampling occasions needed to forecast the dose. Subjects with drug-susceptible tuberculosis (TB) were simulated from a previously developed population PK model. To explore the magnitude of IOV, the area under the plasma concentration-time curve from time zero up to 24 h (AUC0-24h) after 35 mg/kg in the typical individual was simulated for 1,000 sampling occasions at steady-state. The impact of ignoring IOV for dose predictions was investigated by comparing the prediction error of a MIPD approach including IOV to an approach ignoring IOV. Furthermore, the number of sampling occasions needed to predict individual doses using a MIPD approach was assessed. The AUC0-24h in the typical individual varied substantially between simulated sampling occasions [95% prediction interval (PI): 122.2 to 331.2 h mg/L], equivalent to an IOV in AUC0-24h of 25.8%, compared to an inter-individual variability of 25.4%. The median of the individual prediction errors using a MIPD approach incorporating IOV was 0% (75% PI: -14.6% to 0.0%), and the PI for the individual prediction errors was narrower with than without IOV (median: 0%, 75% PI: -14.6% to 20.0%). The most common target dose in this population was forecasted correctly in 95% of the subjects when IOV was included in MIPD. In subjects where doses were not predicted optimally, a lower dose was predicted compared to the target, which is favorable from a safety perspective. Moreover, the imprecision (relative root mean square error) and bias in predicted doses using MIPD with IOV decreased statistically significant when a second sampling occasion was added (difference in imprecision: -9.1%, bias: -7.7%), but only marginally including a third (difference in imprecision: -0.1%, bias: -0.1%). In conclusion, a large variability in exposure of rifampicin between occasions was shown. In order to forecast the individual dose correctly, IOV must be acknowledged which can be achieved using a MIPD approach with PK information from at least two sampling occasions.Copyright © 2020 Keutzer and Simonsson."
"An Advanced Data-Driven Hybrid Model of SARIMA-NNNAR for Tuberculosis Incidence Time Series Forecasting in Qinghai Province, China.","10.2147/IDR.S232854","2020","32273731","Qinghai province has invariably been under an ongoing threat of tuberculosis (TB), which has not only been an obstacle to local development but also hampers the prevention and control process for ending the TB epidemic. Forecasting for future epidemics will serve as the base for early detection and planning resource requirements. Here, we aim to develop an advanced detection technique driven by the recent TB incidence series, by fusing a seasonal autoregressive integrated moving average (SARIMA) with a neural network nonlinear autoregression (NNNAR).We collected the TB incidence data between January 2004 and December 2016. Subsequently, the subsamples from January 2004 to December 2015 were employed to measure the efficiency of the single SARIMA, NNNAR, and hybrid SARIMA-NNNAR approaches, whereas the hold-out subsamples were used to test their predictive performances. We finally selected the best-performing technique by considering minimum metrics including the mean absolute error, root-mean-squared error, mean absolute percentage error and mean error rate .During 2004-2016, the reported TB cases totaled 71,080 resulting in the morbidity of 97.624 per 100,000 persons annually in Qinghai province and showed notable peak activities in late winter and early spring. Moreover, the TB incidence rate was surging by 5% per year. According to the above-mentioned criteria, the best-fitting basic and hybrid techniques consisted of SARIMA(2,0,2)(1,1,0)12, NNNAR(7,1,4)12 and SARIMA(2,0,2)(1,1,0)12-NNNAR(3,1,7)12, respectively. Amongst them, the hybrid technique showed superiority in both mimic and predictive parts, with the lowest values of the measured metrics in both the parts. The sensitivity analysis indicated the same results.The best-mimicking SARIMA-NNNAR hybrid model outperforms the best-simulating basic SARIMA and NNNAR models, and has a potential application in forecasting and assessing the TB epidemic trends in Qinghai. Furthermore, faced with the major challenge of the ongoing upsurge in TB incidence in Qinghai, there is an urgent need for formulating specific preventive and control measures.© 2020 Wang et al."
"Ending TB in Southeast Asia: current resources are not enough.","10.1136/bmjgh-2019-002073","2020","32201625","The Southeast Asia Region continues to battle tuberculosis (TB) as one of its most severe health and development challenges. Unless there is a substantial increase in investments for TB prevention, diagnosis, care and treatment, there will be catastrophic effects for the region. The uncontrolled TB burden impacts socioeconomic development and increase of drug resistance in the region. Based on epidemiological inputs from a mathematical model, a costing analysis estimates that the desired targets of ending TB are achievable with additional interventions, and critical thresholds require an increase in spending by almost double the current levels. The data source for financial allocation to TB programmes is the report submitted by countries to WHO, while projections are based on modelling. The model accounts for funding needs for all strategies based on published data and accounts for programme and patient costs. This paper delineates the resource needs, availability and gaps of ending TB in the region. It is estimated that close to US$2 billion per year are needed in the region for TB-related activities for a meaningful bending of the incidence curve towards ending TB.© Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ."
"Secular Seasonality and Trend Forecasting of Tuberculosis Incidence Rate in China Using the Advanced Error-Trend-Seasonal Framework.","10.2147/IDR.S238225","2020","32184635","Tuberculosis (TB) is a major public health problem in China, and contriving a long-term forecast is a useful aid for better launching prevention initiatives. Regrettably, such a forecasting method with robust and accurate performance is still lacking. Here, we aim to investigate its potential of the error-trend-seasonal (ETS) framework through a series of comparative experiments to analyze and forecast its secular epidemic seasonality and trends of TB incidence in China.We collected the TB incidence data from January 1997 to August 2019, and then partitioning the data into eight different training and testing subsamples. Thereafter, we constructed the ETS and seasonal autoregressive integrated moving average (SARIMA) models based on the training subsamples, and multiple performance indices including the mean absolute deviation, mean absolute percentage error, root-mean-squared error, and mean error rate were adopted to assess their simulation and projection effects.In the light of the above performance measures, the ETS models provided a pronounced improvement for the long-term seasonality and trend forecasting in TB incidence rate over the SARIMA models, be it in various training or testing subsets apart from the 48-step ahead forecasting. The descriptive results to the data revealed that TB incidence showed notable seasonal characteristics with predominant peaks of spring and early summer and began to be plunging at on average 3.722% per year since 2008. However, this rate reduced to 2.613% per year since 2015 and furthermore such a trend would be predicted to continue in years ahead.The ETS framework has the ability to conduct long-term forecasting for TB incidence, which may be beneficial for the long-term planning of the TB prevention and control. Additionally, considering the predicted dropping rate of TB morbidity, more particular strategies should be formulated to dramatically accelerate progress towards the goals of the End TB Strategy.© 2020 Wang et al."
"The Roll-out of Child-friendly Fixed-dose Combination TB Formulations in High-TB-Burden Countries: A Case Study of STEP-TB.","10.2991/jegh.k.190812.001","2019 Sep","31529940","Childhood tuberculosis (TB) has hitherto been treated through estimation of pediatric doses through the crushing of adult pills, but the bitter taste of the pills and the inaccuracy of this dosing method presents a challenge for both patients and healthcare providers, leading to poor treatment outcomes. The TB Alliance therefore launched the Speeding Treatments to End Pediatric-Tuberculosis (STEP-TB) project to incentivize the introduction of pediatric Fixed-Dose Combinations (FDCs) of TB drugs. This case study describes the elements of this project, evaluates its impact, and highlights future challenges for pediatric TB treatment. The impact assessment incorporates both market impact as well as projected public health impact, evaluating the availability, affordability, and quality of the FDCs, and lastly providing a projection of lives saved as a result of scale-up of the FDCs to near-universal availability and utilization, based on a publicly available pediatric TB-specific model. STEP-TB resulted in the development of two child-friendly FDCs that were successfully brought to market and made available in 20 of the project's 22 high-burden countries. On the basis of a country-specific projection of pediatric TB mortality in Kenya, scale-up to near-universal availability and utilization of the new FDCs could reduce pediatric TB-associated mortality by 2660 cases over the next 5 years. Future challenges include maintaining affordable prices for the FDCs and considering mechanisms to incentivize their introduction among high-risk groups in low-burden countries.© 2019 Atlantis Press International B.V."
"Individualised dosing algorithm and personalised treatment of high-dose rifampicin for tuberculosis.","10.1111/bcp.14048","2019 Oct","31269277","To propose new exposure targets for Bayesian dose optimisation suited for high-dose rifampicin and to apply them using measured plasma concentrations coupled with a Bayesian forecasting algorithm allowing predictions of future doses, considering rifampicin's auto-induction, saturable pharmacokinetics and high interoccasion variability.Rifampicin exposure targets for Bayesian dose optimisation were defined based on literature data on safety and anti-mycobacterial activity in relation to rifampicin's pharmacokinetics i.e. highest plasma concentration up to 24 hours and area under the plasma concentration-time curve up to 24 hours (AUC0-24h ). Targets were suggested with and without considering minimum inhibitory concentration (MIC) information. Individual optimal doses were predicted for patients treated with rifampicin (10 mg/kg) using the targets with Bayesian forecasting together with sparse measurements of rifampicin plasma concentrations and baseline rifampicin MIC.The suggested exposure target for Bayesian dose optimisation was a steady state AUC0-24h of 181-214 h × mg/L. The observed MICs ranged from 0.016-0.125 mg/L (mode: 0.064 mg/L). The predicted optimal dose in patients using the suggested target ranged from 1200-3000 mg (20-50 mg/kg) with a mode of 1800 mg (30 mg/kg, n = 24). The predicted optimal doses when taking MIC into account were highly dependent on the known technical variability of measured individual MIC and the dose was substantially lower compared to when using the AUC0-24h -only target.A new up-to-date exposure target for Bayesian dose optimisation suited for high-dose rifampicin was derived. Using measured plasma concentrations coupled with Bayesian forecasting allowed prediction of the future dose whilst accounting for the auto-induction, saturable pharmacokinetics and high between-occasion variability of rifampicin.© 2019 The British Pharmacological Society."
"Seasonality and Trend Forecasting of Tuberculosis Incidence in Chongqing, China.","10.1007/s12539-019-00318-x","2019 Mar","30734907","Tuberculosis (TB) is a global infectious disease and one of the ten leading causes of death worldwide. As TB incidence is seasonal, a reliable forecasting model that incorporates both seasonal and trend effects would be useful to improve the prevention and control of TB. In this study, the X12 autoregressive integrated moving average (X12-ARIMA) model was constructed by dividing the sequence into season term and trend term to forecast the two terms, respectively. Data regarding the TB report rate from January 2004 to December 2015 were included in the model, and the TB report data from January 2016 to December 2016 were used to validate the results. The X12-ARIMA model was compared with the seasonal autoregressive integrated moving average (SARIMA) model. A total of 383,797 cases were reported from January 2004 to December 2016 in Chongqing, China. The report rate of TB was highest in 2005 (151.06 per 100,000 population) and lowest in 2016 (72.58 per 100,000 population). The final X12-ARIMA model included the ARIMA (3,1,3) model for the trend term and the ARIMA (2,1,3) model for the season term. The SARIMA (1,0,2) * (1,1,1)12 model was selected for the SARIMA model. The mean absolute error (MAE) and mean absolute percentage error (MAPE) of fitting and predicting performance based on the X12-ARIMA model were less than the SARIMA model. In conclusion, the occurrence of TB in Chongqing is controlled, which may be attributed to socioeconomic developments and improved TB prevention and control services. Applying the X12-ARIMA model is an effective method to forecast and analyze the trend and seasonality of TB."
"[Application of ARIMA model in predicting the incidence of tuberculosis in China from 2018 to 2019].","10.3760/cma.j.issn.0254-6450.2019.06.006","2019 Jun 10","31238610","Objective: Autoregressive integrated moving average (ARIMA) model was used to predict the incidence of tuberculosis in China from 2018 to 2019, providing references for the prevention and control of pulmonary tuberculosis. Methods: The monthly incidence data of tuberculosis in China were collected from January 2005 to December 2017. R 3.4.4 software was used to establish the ARIMA model, based on the monthly incidence data of tuberculosis from January 2005 to June 2017. Both predicted and actual data from July to December 2017 were compared to verify the effectiveness of this model, and the number of tuberculosis cases in 2018-2019 also predicted. Results: From 2005 to 2017, a total of 13 022 675 cases of tuberculosis were reported, the number of pulmonary tuberculosis patients in 2017 was 33.68% lower than that in 2005, and the seasonal character was obvious, with the incidence in winter and spring was higher than that in other seasons. According to the incidence data from 2005 to 2017, we established the model of ARIMA (0,1,2)(0,1,0)(12). The relative error between the predicted and actual values of July to December 2017 fitted by the model ranged from 1.67% to 6.80%, and the predicted number of patients in 2018 and 2019 were 789 509 and 760 165 respectively. Conclusion: The ARIMA (0, 1, 2)(0, 1, 0)(12) model well predicted the incidence of tuberculosis, thus can be used for short-term prediction and dynamic analysis of tuberculosis in China, with good application value."
"Temporal trends analysis of tuberculosis morbidity in mainland China from 1997 to 2025 using a new SARIMA-NARNNX hybrid model.","10.1136/bmjopen-2018-024409","2019 Jul 31","31371283","Tuberculosis (TB) remains a major deadly threat in mainland China. Early warning and advanced response systems play a central role in addressing such a wide-ranging threat. The purpose of this study is to establish a new hybrid model combining a seasonal autoregressive integrated moving average (SARIMA) model and a non-linear autoregressive neural network with exogenous input (NARNNX) model to understand the future epidemiological patterns of TB morbidity.We develop a SARIMA-NARNNX hybrid model for forecasting future levels of TB incidence based on data containing 255 observations from January 1997 to March 2018 in mainland China, and the ultimate simulating and forecasting performances were compared with the basic SARIMA, non-linear autoregressive neural network (NARNN) and error-trend-seasonal (ETS) approaches, as well as the SARIMA-generalised regression neural network (GRNN) and SARIMA-NARNN hybrid techniques.In terms of the root mean square error, mean absolute error, mean error rate and mean absolute percentage error, the identified best-fitting SARIMA-NARNNX combined model with 17 hidden neurons and 4 feedback delays had smaller values in both in-sample simulating scheme and the out-of-sample forecasting scheme than the preferred single SARIMA(2,1,3)(0,1,1)12 model, a NARNN with 19 hidden neurons and 6 feedback delays and ETS(M,A,A), and the best-performing SARIMA-GRNN and SARIMA-NARNN models with 32 hidden neurons and 6 feedback delays. Every year, there was an obvious high-risk season for the notified TB cases in March and April. Importantly, the epidemic levels of TB from 2006 to 2017 trended slightly downward. According to the projection results from 2018 to 2025, TB incidence will continue to drop by 3.002% annually but will remain high.The new SARIMA-NARNNX combined model visibly outperforms the other methods. This hybrid model should be used for forecasting the long-term epidemic patterns of TB, and it may serve as a beneficial and effective tool for controlling this disease.© Author(s) (or their employer(s)) 2019. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ."
